#{"t_start": 1755530693.535655, "env_id": "myoHandWheelHoldFixed-v0_left"}
r,l,t
-239.591646,75,4.570797
-240.257178,75,6.341197
-234.036509,75,8.377362
-237.909237,75,10.132339
-235.615491,75,11.984315
-234.524727,75,13.775702
-234.458105,75,15.697535
-234.788407,75,17.499149
-237.941408,75,19.343666
-231.340216,75,21.501368
-232.734798,75,23.554988
-239.629771,75,25.442072
-234.120999,75,27.35296
-239.05555,75,29.863497
-231.661456,75,32.292112
-237.25128,75,34.804526
-236.190024,75,37.262741
-232.098759,75,39.798127
-237.234363,75,41.9265
-229.539458,75,44.055088
-235.94615,75,46.001159
-237.834172,75,47.922009
-235.757388,75,50.104376
-238.246047,75,52.129152
-238.339739,75,54.366166
-238.794663,75,56.42802
-240.078188,75,58.303594
-234.199738,75,74.93446
-225.942424,75,77.16803
-233.72096,75,79.327346
-236.69001,75,81.479773
-234.312931,75,83.661913
-241.755743,75,86.126448
-234.187105,75,88.345859
-233.667195,75,90.654721
-234.647479,75,92.612892
-237.433191,75,94.57869
-237.2392,75,96.674786
-240.630248,75,98.717707
-237.32993,75,100.671581
-237.323587,75,102.775427
-237.730611,75,104.838692
-236.404849,75,108.191493
-233.84472,75,110.740399
-236.008077,75,113.211303
-229.64054,75,115.633964
-233.166259,75,117.911573
-239.292908,75,120.589024
-238.398004,75,122.772995
-234.178045,75,124.812861
-233.173117,75,127.77447
-234.371505,75,129.996913
-238.334907,75,132.786239
-228.186645,75,135.663904
-238.044365,75,152.130583
-237.264209,75,153.98405
-237.433544,75,155.927735
-239.654767,75,157.817111
-234.7773,75,159.704997
-234.103799,75,161.687899
-238.514484,75,163.806847
-230.518393,75,165.876354
-237.509681,75,168.286661
-234.549854,75,171.379571
-232.124838,75,173.628507
-234.081158,75,175.532009
-237.475046,75,177.474578
-239.330665,75,179.485428
-237.416274,75,181.595739
-236.67754,75,183.509763
-236.983732,75,185.346809
-231.80518,75,187.354255
-237.170359,75,190.404083
-238.975786,75,192.653581
-237.757611,75,194.744875
-233.821688,75,196.986637
-240.030111,75,198.776092
-238.792664,75,200.543724
-233.651514,75,202.363525
-235.123645,75,204.168637
-238.523039,75,205.898272
-240.178933,75,221.553871
-235.601951,75,223.145282
-239.50268,75,224.880366
-238.913203,75,226.679613
-234.078956,75,228.666641
-232.725987,75,230.588672
-241.807939,75,232.418838
-233.792601,75,234.151849
-237.95908,75,235.843136
-236.616631,75,237.546814
-233.781019,75,239.228246
-242.615058,75,240.895921
-236.054455,75,242.549115
-240.745258,75,244.256836
-233.795906,75,245.946717
-234.773695,75,247.69065
-231.068875,75,249.390999
-243.132115,75,251.062986
-233.170273,75,252.829926
-237.091592,75,254.552389
-237.3342,75,256.345343
-237.551435,75,258.032688
-266.813551,75,259.841877
-233.73681,75,261.786459
-232.924584,75,263.533876
-231.981828,75,265.314138
-234.748065,75,267.007343
-230.01722,75,268.728072
-237.915463,75,283.293545
-242.421259,75,285.344222
-241.737308,75,287.922014
-240.735469,75,289.710466
-233.929013,75,291.586872
-234.035789,75,293.283959
-233.190081,75,294.981341
-226.473236,75,296.798041
-236.103773,75,298.564584
-244.46773,75,300.287209
-240.018419,75,302.010814
-232.731579,75,303.78807
-235.838858,75,305.558559
-242.124864,75,307.316086
