#{"t_start": 1755530694.549192, "env_id": "myoHandWheelHoldFixed-v0_left"}
r,l,t
-239.681297,75,3.552416
-237.681027,75,5.33709
-236.610057,75,7.365653
-235.821094,75,9.119771
-235.725203,75,10.982941
-233.51941,75,12.77702
-239.242698,75,14.687473
-238.148002,75,16.478154
-236.056076,75,18.340185
-233.976254,75,20.486655
-237.097842,75,22.553976
-238.742055,75,24.43887
-227.394724,75,26.349404
-236.023744,75,28.843126
-240.46043,75,31.279033
-235.945077,75,33.821322
-236.317561,75,36.275542
-229.908244,75,38.787031
-232.326657,75,40.946255
-236.843356,75,43.052365
-234.393263,75,44.999211
-233.965906,75,46.921197
-236.778459,75,49.105221
-232.631637,75,51.13608
-234.067098,75,53.351375
-233.194939,75,55.426839
-235.151631,75,57.29789
-233.177805,75,73.931341
-236.038377,75,76.179347
-242.286234,75,78.297791
-239.258142,75,80.480735
-238.922078,75,82.665839
-234.166446,75,85.133267
-239.079544,75,87.350924
-241.123304,75,89.648401
-236.452823,75,91.598292
-233.572824,75,93.564648
-234.871697,75,95.663174
-241.206765,75,97.703928
-240.12946,75,99.674727
-242.149508,75,101.76144
-242.63888,75,103.800626
-232.897265,75,107.183876
-233.784258,75,109.74025
-234.909753,75,112.210172
-233.652267,75,114.619293
-234.641125,75,116.9149
-235.821895,75,119.5905
-242.083148,75,121.768853
-240.60899,75,123.826238
-233.474202,75,126.713407
-233.478415,75,129.015109
-238.726015,75,131.783893
-238.889022,75,134.677683
-233.720236,75,151.126672
-233.316741,75,152.982056
-234.061853,75,154.916537
-235.221476,75,156.823878
-237.664233,75,158.708405
-237.125922,75,160.687044
-238.303143,75,162.805384
-234.652074,75,164.890007
-238.286206,75,167.40302
-243.613392,75,170.380385
-237.387207,75,172.612947
-242.740366,75,174.526846
-238.296431,75,176.475816
-240.031059,75,178.494774
-236.682357,75,180.591089
-234.364908,75,182.512867
-240.510899,75,184.343006
-243.395937,75,186.352929
-232.901824,75,189.403835
-236.916688,75,191.650095
-236.780053,75,193.716926
-237.048175,75,195.986307
-231.868853,75,197.769886
-239.311267,75,199.535985
-233.110142,75,201.335797
-242.765381,75,203.153159
-240.550826,75,204.903501
-238.561395,75,220.540178
-237.388327,75,222.140978
-245.515753,75,223.863418
-238.997937,75,225.666747
-237.857826,75,227.688839
-244.840049,75,229.592329
-238.65909,75,231.402596
-241.959323,75,233.139218
-237.969674,75,234.844879
